text,cmp_code,pos
and in particular its presumption in favour of economic development;,416,1800
restricting the ability of the Secretary of State to call in planning applications;,301,1801
restricting the right of applicants to appeal only where there has been an error in the planning process;,301,1802
"strengthening local authorities powers to prevent changes of use for important community facilities such as local shops, pubs and meeting halls;",301,1803
"giving local authorities planning powers to support local shops and businesses through planning policies including business conservation areas,",301,1804
"ensuring basic shops are available within walking distance in all urban areas,",501,1805
restricting the number of payday lenders,301,1806
and restricting the power of supermarkets;,301,1807
and introducing a community right of appeal where a development is non-compliant with a neighbourhood plan or local plan.,301,1808
"Support preservation of the historic environment, in part by being flexible about how older buildings reduce their energy use.",501,1809
Constitutional Convention The Green Party supports calls for a Constitutional Convention led by citizens  a Peoples Convention.,202,1810
Wed use that opportunity to make the case for the changes detailed above.,204,1811
"Parts of England, based on groups of local authorities, could come together to exercise greater powers; these might amount to existing regions, or possibly city regions.",204,1812
"The process must be driven by the bottom up decisions of local authorities, not by top down direction.",202,1813
"The Convention would also consider further devolution to Scotland, Northern Ireland and Wales.",204,1814
"As set out above, we favour much greater devolution to and tax-raising powers for local authorities, with this settlement put beyond future Whitehall revision by giving formal constitutional protection to local democracy",204,1815
. Any constitutional changes should be subject to referendums.,202,1816
Greens have long supported the process of devolution in Wales.,301,1818
"We believe that the people of Wales should enjoy the degree of autonomy, perhaps including full self-government or independence, that they wish to have, as expressed in a referendum.",301,1819
"Up until any such referendum, Greens in Wales will focus on improving and maximising the potential of the current devolution settlement.",301,1820
"Reflecting the devolved status of Wales within the UK, the Wales Green Party has an autonomous status within the wider party and publishes independent policy statements and its own manifesto covering all areas of devolved power.",301,1821
"These include matters such as health, education, transport and housing.",301,1822
"Greens in Wales would: Increase real power at all levels, from local councils up to the Welsh Assembly.",301,1823
Increase the number of Assembly members.,301,1824
Push for the National Assembly to become a Parliament with powers equal to those in Scotland.,301,1825
One benefit of these increased powers would be the ability for Wales to fully realise its potential as a producer of clean renewable energy.,501,1826
Greens recognise that cultural diversity is as vital as ecological biodiversity in maintaining and enriching a healthy and fair society.,607,1827
"We would promote and protect this cultural diversity at a grassroots level with the promotion of community radio, television, live arts, etc. in both the Welsh and English languages.",607,1828
Wales Green Party policies would help create the strong local sustainable economies and thriving communities necessary for the future of the Welsh language and the nations rich cultural diversity.,607,1829
We live in the information age and we know that information is power.,201,1831
But how should information be controlled?,201,1832
"What information should be available, and to whom?",201,1833
"The Green Party supports a world of open, freely flowing information.",201,1834
We dont want disproportionate or unaccountable surveillance or censorship.,201,1835
"We want a transparent state, but we want control over the data that our digital lives create.",201,1836
We need copyright laws that reward creators but that are consistent with digital technologies.,201,1837
Above all we want democratic political control of this technology,202,1838
We would consider combining elements of the policies below into a comprehensive Digital Bill of Rights.,201,1839
We would: Oppose any case for secret unaccountable mass surveillance of the type exposed by Edward Snowden.,201,1840
We do accept that government law enforcement agencies may occasionally need to intercept communications in specific circumstances.,201,1841
"Such specific surveillance should be proportionate, necessary, effective and within the rule of law, with independent judicial approval and genuine parliamentary oversight.",202,1842
"Replace the Regulation of Investigatory Powers Act 2000, which has failed to regulate the deployment of undercover police;",201,1843
to support the confidentiality of journalistic sources; // to support legal confidentiality;,201,1844
and to enshrine an open and effective right of redress.,201,1845
Support and protect Internet freedom.,201,1846
Follow human rights judgments limiting surveillance and data retention in full.,201,1847
Support the EUs proposals to strengthen data protection laws against opposition from large US data-driven companies.,108,1848
"Limit the censoring or takedown of content or activity to exceptional circumstances, clearly set out within a comprehensive legal framework.",201,1849
"Make copyright shorter in length, fair and flexible, and prevent patents applying to software.",201,1850
Introduce a more satisfactory law on so-called malicious comments made on social media than the blanket and crude section 127 of the Communications Act 2003.,201,1851
"Oppose the privatisation of data held by the government that should be open to all, such as the Postcode Address File,",201,1852
"or by companies providing public services, such as data on the progress of buses that can be used by Smartphone apps to predict waiting times.",201,1853
"Oppose the sale of personal data, such as health or tax records, for commercial or other ends.",201,1854
Use government purchasing power to support open standards in information technology.,201,1855
How politics is reported is vital for our democracy  active citizenship has to be informed citizenship.,202,1857
Public support for the arts is part of a civilised society.,502,1858
We would: Tighten the rules on cross-media ownership and ensure that no individual or company owns more than 20% of a media market.,403,1859
Support the recommendations of the Leveson Inquiry into press ethics and for the cross-party Royal Charter.,201,1860
But if this is not supported by all the major newspapers we will support legislation to implement the Leveson system of independent press self-regulation.,201,1861
"Maintain the BBC as the primary public service broadcaster, free of government interference, with funding guaranteed in real terms in statute to prevent government interference.",201,1862
Increase government arts funding by £500 million a year to restore the cuts made since 2010,502,1863
"and reinstate proper levels of funding for local authorities, helping to keep local museums, theatres, libraries and art galleries open.",502,1864
Reduce VAT to 5% for live performances.,502,1865
Work to support fair pay productions in the arts.,502,1866
Support initiatives to make the arts and sports accessible to all.,502,1867
"Set targets for participation in sports by women, ethnic minorities and disabled people in particular.",503,1868
Make sure all children get at least a half-day equivalent of sports in school,502,1869
and encourage both the use of schools sports facilities by the community,502,1870
and participation in regional and national sporting events by our young people.,502,1871
Ensure that all have digital access and give BT and other public telecommunications operators an obligation to provide affordable high-speed broadband-capable infrastructure to every household,411,1872
and small business.,403,1873
"This in particular will encourage video-conferencing, helping to reduce both business and family travel.",501,1874
Strengthen controls on advertising directed at children.,403,1875
Value the contribution made by civil society organisations both here and abroad.,606,1876
"In particular, we would repeal the Lobbying Act 2014 (see the Green MP opposes the Lobbying Bill box below).",201,1877
Support state funding of political parties.,202,1878
Give fair representation to political parties in televised debates.,202,1879
"Caroline Lucas opposes the Lobbying Bill At every stage of the Lobbying Bills progress through Parliament, Green MP Caroline Lucas was at the forefront of attempts to stop the Bill becoming law.",201,1880
She was one of a group of MPs who tabled an amendment to reject the Bill outright and was a vocal critic of moves to drastically curtail the debate we need for a healthy democracy.,202,1881
"Caroline campaigned for legislation that would shine a real light on lobbying activity and criticised the Coalitions proposals for letting most corporate lobbyists off the hook, at the same time as effectively gagging the activities of civil society groups speaking out on anything from housing policy to wildlife conservation.",201,1882
She tabled an amendment to the Bill that would have opened up to proper scrutiny how much is spent on lobbying,202,1883
 as well as who is doing it.,202,1884
She called for details to be made public about when staff transfer between the civil service and the private sector.,304,1885
And she has stood up in Parliament time and again to reiterate the Green Partys commitment to repealing whats dubbed the Gagging Bill.,201,1886
"Imagine being able to leave your car in the garage  or not needing one at all... because reliable, affordable public transport, coupled with safe, clean, welcoming streets for walking and cycling, meets your transport needs.",501,1887
Could that not be the real world?,501,1888
"Like so much else, the UK has got transport upside down.",501,1889
"The big picture is a world of finite resources, especially the type that runs much of our transport  petroleum.",501,1890
"This is running out, and we know we need to leave much of what is left in the ground.",501,1891
We have to create a transport system based on sustainable alternatives.,501,1892
"We also have an increasingly car-dependent population because the cost of public transport has risen faster than wages and faster than the total cost of driving,",501,1893
and in many areas public transport is so scarce that people have little alternative but to get around by car.,501,1894
This has led to a public health crisis caused by rising levels of physical inactivity and health-damaging air pollution.,501,1895
"We also face an increasing toll of death and injury on the roads, particularly among pedestrians and cyclists who face unacceptable danger in our vehicle-dominated and congested towns, cities and villages.",501,1896
"Our privatised railways are fragmented and uncoordinated, ticket prices are high and unpredictable, and timetables do not connect seamlessly with buses at stations.",413,1897
This means rail fails to play its full part in delivering an effective alternative to the private car.,501,1898
Long-distance travel by air is one of the most energy-intensive and polluting forms of transport and causes health-damaging local pollution near airports.,416,1899
"Aviation fuel goes untaxed and there is no VAT on tickets, amounting to a £16 billion a year subsidy in the UK.",416,1900
"We need a shift in priority, removing subsidies from air travel to invest in public transport that supports the common good.",416,1901
"In the long run we have to create a transport system that is socially just and addresses health inequality by prioritising affordable access to services by walking, cycling and public transport,",416,1902
"by reducing road danger,",501,1903
by cleaning up our air,501,1904
and by minimising congestion.,501,1905
"This transport system should use electricity, not oil,",501,1906
"and make our towns, cities and villages into more liveable, socially inclusive places.",501,1907
"Against this backdrop, mainstream transport policy, which urges us to travel further and faster than ever before, is senseless, yet this is what all parties except the Green Party offer you.",416,1908
"The key to getting this right is to manage demand rather than increase it; that is, to reduce the need to travel in the first place.",416,1909
"We need to: Reduce the distances travelled,",501,1910
reduce the number of journeys made by car,501,1911
"and switch as many journeys as possible to walking, cycling and public transport;",501,1912
"Encourage alternatives to travel, such as video-conferencing;",501,1913
Integrate different transport options and provide seamless doorto-door journeys;,501,1914
"Prioritise everyday access for everybody wherever they live to local facilities such as the shops, the doctors surgery, schools and workplaces;",501,1915
and Enable more people to get to where they need to go while using a car less.,501,1916
"Green Party transport policy prioritises in this order, building from the bottom up:",501,1917
walking and disabled access to all other forms of transport;,501,1918
cycling;,501,1919
"public transport (trains, light rail/trams, buses and ferries)",501,1920
and rail- and water-borne freight;,501,1921
"light goods vehicles, taxis and low-powered motor cycles;",501,1922
private motorised transport (cars and high-powered motor cycles);,501,1923
heavy goods vehicles;,501,1924
and aircraft.,501,1925
Green councillors mean safer streets...,501,1926
"Green councillors were instrumental in bringing in 20 mph limits on many residential roads in Norwich, Islington and Leicester, as well as a default 20 mph limit on all residential roads in Lancashire and in Brighton & Hove.",501,1927
"For trains to play their part in the total journey experience, they need to connect seamlessly with buses and convenient walking and cycling routes to local centres of habitation.",413,1929
The Green Party is committed to bringing rail services into public ownership and control.,413,1930
"The current fragmented structure does not put the passenger and the total journey experience at the centre of planning and has created a costly, wasteful, uncoordinated outcome.",413,1931
"Recent experience in running the East Coast Main Line within the public sector has shown that both quality and receipts to the Treasury go up when a rail service is run in this way,",413,1932
"whereas experience on the West Coast Main Line in the private sector shows that the franchise system is costly, wasteful and not fit for purpose.",413,1933
The Green Party will consult widely on the organisational details of a rail operation in public ownership and how it will link to democratic accountability at the regional and city-region geographical scales.,413,1934
Diesel exhaust emissions are a known human carcinogen,501,1935
"and diesel trains do not perform as well as electrified rail operations in terms of passenger comfort, acceleration and deceleration, and the ability to make more stops at intermediate stations with minimal impact on overall journey time.",501,1936
The Green Party wants to see electrification of the railway system to achieve levels to be found in Germany (59% of track electrified) or Sweden (73% electrified).,501,1937
The UK has 34% of its track electrified.,501,1938
"High levels of electrification reduce health-damaging air pollution,",501,1939
reduce greenhouse gases,501,1940
and deliver a much-improved passenger experience.,501,1941
"Electrification will also require new rolling stock and the Green Party will promote the design and manufacturing of this new stock in the UK,",501,1942
contributing to job creation in those regions with higher than average unemployment.,701,1943
"Putting this plan into action for the common good means bringing the railways back into public ownership  making them belong to you and me, run by rail workers for passengers.",413,1944
"On 26 June 2013, Green MP Caroline Lucas published a Private Members Bill to do just this, a policy supported by 66% of the British public.",413,1945
The privatised railways cost over £1 billion a year in: Interest payments; Debt write-offs; The costs of railway fragmentation; The profit margins of tiers of contractors and sub-contractors;  Payments to shareholders; and Bonuses paid to railway bosses (up to 166% of annual salaries).,413,1946
"Between 1997 and 2013, rail fares leapt by 22%, while road users have experienced a 9% drop  exactly the wrong priority.",413,1947
Rail isnt really private anyway  60% of the network is owned by state-backed foreign companies.,413,1948
And this private system takes £4 billion in public subsidies every year.,413,1949
Labours response is to require the state to bid for franchises it already owns  at millions of pounds a time.,305,1950
"As Caroline says, a privatised railway is a blatant transfer of public money to private interests at the expense of the taxpayer and rail passengers.",413,1951
Bringing the railways back into public ownership would cost very little if it was done as existing franchises fell due for renewal.,413,1952
This will: Save money;,413,1953
Mean a better deal for passengers;,413,1954
Allow local authorities to plan and run local services;,301,1955
Increase the scope for the democratic involvement of local communities in planning and running railways;,202,1956
and Reduce congestion and improve safety.,501,1957
"In addition on the railways, we would not support HS2 (the proposed high-speed network).",416,1958
"The money to be spent on this hugely expensive project, which at best will reduce journey times for a few passengers, would be much better spent on improving the conventional rail connections between various major cities,",416,1959
improving the resilience of the existing network to climate change,416,1960
and reopening lines and stations that have been closed.,416,1961
The major challenge for our transport system is to decarbonise it and end its reliance on fossil fuels.,501,1963
"We would: End the wasteful and destructive national major roads programme, saving £15 billion over the Parliament.",416,1964
"Spend part of this £15 billion on improving and subsidising public transport, with an average fare reduction of 10% costing £8 billion over the Parliament,",413,1965
fixing potholes in existing roads,411,1966
and investing in walking and cycling.,501,1967
Support walking and cycling.,501,1968
"In particular, we would ensure that pedestrians and cyclists get their fare share of road space and would spend at least £30 per head on them over every year of the Parliament.",501,1969
"Funding should be allocated flexibly to make safe, convenient routes that address the needs of pedestrians and cyclists while reducing any risk of conflict between them.",501,1970
"Support the re-regulation of bus services to provide a better, more reliable service.",413,1971
End the favourable tax treatment of aviation,416,1972
and have a separate target for aviation emissions of below 37.5 million tonnes CO2 equivalent a year.,501,1973
"Stop airport expansion, in particular no new runways at either Heathrow or Gatwick,",416,1974
and ban night flying.,501,1975
"Invest in electric vehicle charging points for buses and taxis, and for cars where there are gaps in the network of public and community transport.",501,1976
Incentivise consolidation of white van deliveries so that last-mile deliveries can be made by cargo bikes and electric vehicles in local areas.,501,1977
"Instead of prestige projects such HS2 and new runways, we need to prioritise local transport and make sure it is accessible to everybody.",416,1979
"The Green Party would: Prioritise affordable local public transport,",413,1980
"accessible to all, including those with disabilities.",503,1981
"Support free local transport for pensioners, including the existing local bus pass scheme and the Freedom Pass in London.",504,1982
"Extend free local public transport to young people and students, costing around £4 billion a year.",504,1983
"Develop regional smart payment systems with integrated ticketing, like the London Oyster system.",501,1984
Extend networks of public transport to include rural areas.,503,1985
The numbers of people killed or seriously injured on the UKs roads have fallen in recent years.,411,1987
"But they are still appallingly high: 1,713 people died on the roads in 2013, and 21,657 were seriously injured, far worse than for other modes of transport.",411,1988
We will: Work for a road transport system that results in zero deaths or serious injuries by systematically reducing sources of danger on the roads.,411,1989
"Reduce both collisions and fuel use by bringing down speed limits, in particular to 20 mph in residential areas, including main roads where people live, work and shop;",501,1990
enforce speed limits with speed cameras and policing.,501,1991
Change the culture of road justice and civil compensation with a road danger reduction approach.,411,1992
A greater duty of care should be expected of drivers in reducing injury and intimidation of vulnerable road users.,503,1993
Motor vehicle drivers should be presumed liable for injuries to pedestrians and cyclists.,503,1994
"If the casualty has contributed to the collision, compensation may be reduced, but not when the victim is a child, elderly (70+) or impaired.",503,1995
Reduce the alcohol limit for drivers to as close to zero as is practicable.,411,1996
Require newly manufactured lorries to be equipped with best practice technology to make sure that drivers are fully aware of the presence of all pedestrians and cyclists.,411,1997
"Pedestrian and cyclist fatalities and serious injuries when involved in collisions with lorries are predictable, preventable and unacceptable.",411,1998
"The technology already exists and is in use in several countries and consists of a mixture of in-cab screens linked to cameras, multiple wing mirrors and physical modification to prevent people being dragged under the vehicle.",411,1999
Lorries already in use must be retro-fitted with the same equipment and lorries not so equipped will not be allowed into our towns and cities.,411,2000
"Reduce lorry activity and road freight volume by improving rail freight services,",411,2001
"reducing the number of empty or partially loaded trips,",411,2002
and using cargo bikes for last-mile deliveries to replace some white van trips.,411,2003
Towns and cities for people We need to rescue our towns and cities from traffic and turn them back into places where we want to be.,501,2004
The Green Party will support an Active Travel Bill for England in order to achieve this.,501,2005
"Make streets healthy and safe places for people to cycle and walk and for children to play,",501,2006
while building physical activity into their daily journeys.,501,2007
"Help schools and workplaces to support active travel to and from work, and encourage local authorities to assist this by linking their public health and transport functions.",411,2008
Ensure that all planning decisions have to take into account the active travel and public transport implications.,411,2009
Make public transport more convenient by integrating ticketing with smart regional ticketing systems such as the LondonOyster card.,411,2010
Introduce road-pricing schemes such as the London congestion charge and road-user tolls for heavy lorries.,411,2011
Begin consultation with a view to developing a framework for the progressive elimination of diesel exhaust emissions.,501,2012
"A major cause of air pollution is emissions from diesel vehicles (cars, buses and trains).",501,2013
We recognise the latest scientific evidence of the harmful effect of diesel on human health.,501,2014
Introduce Ultra Low Emission Zones to ensure air pollution reduces to comply with EU limits.,501,2015
"Reduce the need for car parking spaces by reducing car dependency and transferring trips, where appropriate, to walking, cycling and public transport.",501,2016
"Car parking is expensive to provide, can obstruct pedestrians and people with disabilities if it takes place on pavements, and takes up valuable road space that could be reallocated to pedestrians and cyclists.",501,2017
"Reduce parking spaces in new developments and increase rates of walking, cycling and public transport by strengthening planning law to make best practice travel plans mandatory for workplaces, homes and other destinations.",501,2018
"Eliminate pavement parking and, in close cooperation with waste collection and emergency services, make sure that these essential services have unimpeded access to all addresses.",501,2019
Ensure that parking policies in residential areas deliver a high-quality street environment and reduce the numbers of those who are clogging up residential streets as part of a commuter trip or other activities not related to a visit to an address in that street.,501,2020
Parking charges of all kinds in public car parks and streets will be proportionate to the full cost of providing that facility.,501,2021
Provide cycle parking throughout towns and cities at locations where there is demand,501,2022
and invest in on-street secure cycle storage in residential streets.,501,2023
Approximately 20% of the UK population live in rural areas and many of these are retired and may have to adjust to a lifestyle without a car for health and income reasons.,503,2025
It is essential that rural areas get the best possible deal for widening transport choices.,503,2026
The Green Party does not accept that there is a fundamental and intractable rural transport problem.,501,2027
"Rural transport in many parts of Germany, Austria and Switzerland is of a very high quality and the quality is based on careful planning, coordination and investment and recognition that, although a car will be needed for a proportion of journeys, it is not the default option.",501,2028
"The small village of Gempen in Switzerland, with a population of about 800, has ten buses each day that connect with tram and train services at the next-larger settlement (Dornach).",501,2029
We will: Make sure that rural areas are not neglected when transport budgets and planning for our cities and city regions are under discussion.,501,2030
Develop networks of community and public transport to provide regular links to onward transport networks.,501,2031
Introduce speed limits of 20 mph in villages and 40 mph on rural roads.,501,2032
Green councillors bring safer cycling...,501,2033
Lancaster Greens helped to deliver the Cycling Demonstration Town project with more than £4 million external funding for safer routes and cycling promotion.,501,2034
Greens in power carry out our transport policies,501,2035
"In Green-led Brighton, the Council has: Introduced the largest connected 20 mph zone in the country, and casualties fell by 19%;",501,2036
Built a new cycle hub at the station;,501,2037
"Introduced cycle priority at junctions, proper cycle lanes and cycle contraflow lanes;",501,2038
"Introduced the first floating bus stop, resulting in: bus usage increasing by almost 9% over two years,",501,2039
"falling nitrous oxide and carbon dioxide emissions,",501,2040
"an 11% increase in daily cycle journeys between 2009 and 2012,",501,2041
"and falling road casualties, with 200 fewer killed and injured in 2013 than in 2011.",501,2042
"Imagine the UK as a good global neighbour,",107,2044
committed to peacemaking,106,2045
and to helping create the conditions for a flourishing life for everyone on the planet.,107,2046
"This is a UK bent on resolving conflicts rather than making them worse, determined to listen as well as to speak.",106,2047
How about the chance to vote for a Europe of self reliance rather than free trade and indiscriminate growth?,416,2048
Imagine a climate change agreement that is both just and effective.,501,2049
Picture a world where the big decisions are made by democratically elected governments and not by private corporations  picture the end of talk of the Transatlantic Trade and Investment Partnership (TTIP)...,202,2050
"We live in an interconnected world, which brings huge benefits as well as drawbacks.",107,2051
"Decisions that we make affect people in other countries, and events in other countries affect us.",107,2052
"In particular, UK foreign and military policies over many years have contributed to challenges to our security today:",105,2053
By using up global resources or polluting the air or water that we all share;,107,2054
By influencing how much we pay for diminishing natural resources,107,2055
and how much we get paid for our labour;,107,2056
By driving displacement;,107,2057
By creating insecurity at home and abroad.,107,2058
"Greens are internationalists and want to live in a world that is just and fair, secure and peaceful, and where human rights are universally respected.",201,2059
"We will make the UK a force for international good,",107,2060
"respected throughout the global community,",107,2061
with coherent foreign policies based on building effective and cooperative security relations across the world.,106,2062
"All countries deserve a voice in global decision-making, and we want to use ours to support the following:",107,2063
"A new, holistic and consistent approach to peace and defence, which is focused on genuine peacekeeping and respect for the sovereignty of peoples around the world.",106,2064
"A fundamental restructuring of our global economy, with power held at the local and regional level and only passed upwards when international cooperation is necessary.",301,2065
We call this subsidiarity  this principle is the basis of our approach to the European Union and other international organisations.,301,2066
"Writing off and writing down unpayable international debt,",107,2067
"avoiding paternalistic aid,",107,2068
and securing the rights of First Nations peoples.,201,2069
"Trade that supports the well-being of workers that can be achieved without breaching sustainability limits is useful, but a blind commitment to free trade is not.",416,2070
"A global policy of Contraction and Convergence in which rich countries use of finite energy resources contracts, while that of poorer countries expands, to converge on an equitable and sustainable per capita sharing of global energy,",107,2071
designed to keep within 2 degrees C of warming.,501,2072
Only in this way can poor countries improve living standards while the world as a whole avoids hitting resource and climate limits.,107,2073
"Making UK foreign policy genuinely independent, based on the principles of shared responsibility, cooperative security",109,2074
and human rights.,201,2075
"We will: Work to reform the United Nations and associated bodies, to reflect better the needs and interests of all countries,",107,2076
and make the UN more representative and effective through abolishing permanent seats on the UN Security Council (UNSC).,107,2077
Seek negotiated settlements to a range of conflicts around the world,106,2078
"and block sales of weapons and military equipment that increase misery and death for non-combatants and have particularly destructive impacts on vulnerable peoples, notably women and children.",105,2079
"Outlaw the use of torture,",201,2080
the sale of torture equipment,201,2081
"and the rendition of people to countries where torture is not prohibited,",201,2082
and enforce the laws against it.,201,2083
"Take proportionate measures to protect against terrorism,",104,2084
ensuring that civil liberties are not undermined in the process,201,2085
", that communities are not scapegoated",503,2086
and that action reflects a genuine assessment of the threat to our security.,106,2087
"We need targeted policing and security service activities, not mass surveillance,",201,2088
"Uphold the principles of freedom of speech and peaceful protest,",201,2090
including support for vulnerable communities of all religious faiths and none.,305,2091
"In relation to specific international challenges around election time: We opposed military interventions in Afghanistan, Libya and Iraq,",105,2092
"and will oppose all future interventions that lack a sufficient moral, legal and democratic mandate",106,2093
"or when military action risks being counter-productive, for example by providing fertile recruitment, fundraising and propaganda opportunities.",105,2094
"We will instead advocate for regional solutions to conflicts and for the UK to take a lead in advancing diplomatic, economic and political solutions to the threats posed by terrorist groups such as ISIS and Boko Haram.",106,2095
We would provide humanitarian support for the millions of refugees displaced by these conflicts.,107,2096
"We seek a just, sustainable and peaceful solution to the Arab-Israeli conflict, based on mutual recognition of the rights to independent statehood for Palestinians and Israelis.",106,2097
We condemn human rights violations by both parties,201,2098
and the oppression and disproportionate use of aggression by the Israeli government against the people of Gaza.,105,2099
We seek to suspend the EU Israel Association Agreement.,105,2100
"`We condemn state-sanctioned breaches of human rights by countries such as China, Syria, Sudan and Pakistan, as well as by individuals or organisations,",201,2101
`and we advocate the use of sanctions and legal action via the International Criminal Court for those violating international human rights standards.,107,2102
"We would work to support a negotiated settlement between Russia and Ukraine,",106,2103
"while developing a new security structure for the region involving the Organization for Security and Co-operation in Europe, with opposition to arms transfers and military interventions in regional and internal conflicts.",106,2104
A global climate disaster can be prevented only if the whole world works together.,107,2106
"The Green Party will make it its main foreign policy priority to secure a major new international agreement,",107,2107
"in particular at the UN meeting in Paris in December 2015, with a wide-ranging workable plan to arrest climate change",107,2108
and share global resources more evenly.,107,2109
The basis of this agreement should be Contraction and Convergence (C&C).,107,2110
"C&C means: Allowing countries that currently emit very little carbon dioxide to increase their emissions,",107,2111
using their energy resources to reduce poverty and improve their peoples well-being.,107,2112
"Requiring all other countries to reduce their emissions to a small per capita limit, fixed to be consistent with a global limit that keeps temperature rises below 2 degrees C.",107,2113
Recognising the special responsibility of countries such as the UK that have become wealthy from 200 years of fossil-fuelbased industrialisation.,107,2114
Some of this wealth will need to be shared with poorer countries that have left their fossil fuels in the ground and their forests still standing.,107,2115
"In these ways, by an agreed date, every citizen of the world will have a fair and equal share of global emissions potential.",107,2116
Being rich will no longer permit people to unfairly affect the whole worlds atmosphere and climate.,107,2117
The UKs recent history has been scarred by involvement in ill-advised military interventions that have undermined our national and international security.,105,2119
"The Green Party opposed these interventions, which have brought havoc to Iraq and Libya and only fragile gains in Afghanistan,",105,2120
as well as driving an increased terrorist threat closer to home  all at the cost of many precious lives and vast amounts of money and other resources that could have been better used for other needs.,105,2121
Green MP Caroline Lucas challenged the PM in the debate on 26 September 2014 on military action in Iraq Will the Prime Minister recognise that killing extremists does not kill their ideas?,105,2122
"On the contrary  it can often feed their ideas, and for that reason the former MI6 head of counter-terrorism has said that getting Saudi Arabia and Iran around a negotiating table would be far more effective than bombing.",106,2123
"Why are we not hearing far more from this Prime Minister about the political and diplomatic solutions to this situation, rather than reaching for the military solution, which could undermine them?",105,2124
We will restructure and update the UKs security and defence establishments and services so that they contribute to the international good.,107,2125
"We will: Pursue a policy of defensive defence, which threatens no one yet makes it clear that threats and attacks will be resisted.",104,2126
"Take a leading role in preventing violent conflict, genocide and war crimes overseas through (i) helping to develop local capacities to avoid, manage and resolve conflicts;",106,2127
and (ii) enhancing the UKs well-respected role in genuine peacekeeping and the protection of non-combatant communities.,106,2128
"Develop policies and programmes for environmental defence and disaster mitigation and relief, drawing on the skills and activities of our current military forces",104,2129
and increasing gender representation and training to equip the UK to contribute more effectively in these kinds of human security emergencies.,107,2130
Diminish dependence on arms sales through a halt to government subsidies,105,2131
"and introducing a strict licensing regime to prevent sales of weapons and military equipment to undemocratic regimes and those that violate human rights (including, at the present time, Israel and Saudi Arabia).",105,2132
Look after veterans and their families.,104,2133
"The Green Party will ensure that UK security and defence policies are consistent with international law, including international humanitarian law,",201,2135
"and that the UK implements in good faith all relevant obligations in the following international treaties: the Nuclear Non-Proliferation Treaty, the Outer Space Treaty, the Biological Weapons Convention, the Chemical Weapons Convention, the Comprehensive Nuclear-Test-Ban Treaty, the Mine Ban Treaty, the Cluster Munitions Convention, the Arms Trade Treaty, the UN Programme of Action on Small Arms and Light Weapons, and the Geneva Protocols.",104,2136
"We will: Enhance UK cooperation with civil society and international agencies to implement relevant UN Security Council Resolutions, including UNSC Resolutions 1325, 1820 and 1889, dealing with the role of gender violence in war",107,2137
and the necessity to involve women at all levels in preventing war and building peace and security.,106,2138
Save a massive £100 billion over the next 30 years by cancelling Trident replacement and decommissioning existing nuclear forces and facilities.,105,2139
"Enhance international security and non-proliferation by initiating and/or joining negotiations on a universally applicable nuclear abolition treaty to prohibit the use, deployment, development, production, stockpiling and transfer of nuclear weapons and requiring their complete elimination.",105,2140
"Initiate and/or join negotiations on new international treaties and laws to prohibit the development, deployment and use of autonomous weapons (such as killer robots),",105,2141
"depleted uranium weapons,",105,2142
"weapon systems that are intended for use in and from outer space,",105,2143
"and weapons that leave explosive remnants and toxic legacies in war-affected communities,",105,2144
while mandating the protection of civilians from any new weapons developments for the future.,105,2145
"As part of his work, Keith has called for Israel to end its practice of detaining Palestinians without charge, and has supported his constituents in boycott campaigns relating to goods made in illegal Israeli settlements.",201,2147
Keith has long campaigned for the recognition of Palestine and has put his name to a successful Resolution calling on the European Parliament to recognise Palestine as a state.,106,2148
"Joining up the policies So what do war, terrorism, food policy and the oil industry have to do with each other?",501,2149
"If we didnt depend on oil from the Middle East, we wouldnt need to invent reasons to go to war there when supply lines are threatened.",501,2150
"If we werent involved in wars in the Middle East, terrorism here would lose its raison dêtre.",106,2151
"With less fossil fuel we would have to expand renewables and grow more of our own food, making us far less vulnerable to blockade in any future war.",501,2152
"Security policy is not just about tanks, its also about acting responsibly and building resilience at home.",501,2153
Its another virtuous circle..,501,2154
The Green Party recognises that the UK is part of Europe and that we cannot cut ourselves off from our geography or its political realities.,108,2156
"Our message on Europe is positive, not based on fear and nostalgia.",108,2157
Much EU action has been progressive:,108,2158
"safeguarding basic rights,",108,2159
"peace and security achieved through mutual understanding,",108,2160
"environmental protection,",108,2161
"the spread of culture and ideas,",108,2162
and regulation of the financial system.,108,2163
"And in other areas, such as welfare policy, open discussion and coordination are useful.",108,2164
"However, we prioritise local self-reliance rather than the EUs unsustainable economics of free trade and growth.",110,2165
"We would not adopt the Euro, which cannot work properly without much deeper political integration, and this would be contrary to our policy of subsidiarity.",110,2166
We support the proposal to have an inout referendum so that the British people can have their say.,202,2167
This is because much has changed since the UK joined the Common Market in 1974.,110,2168
"Endless debate on membership is a diversion from more important matters, such as ending inequality and adapting our economy to One-Planet Living.",110,2169
"So its yes to Europe,",108,2170
yes to reform of the EU,108,2171
but also yes to a referendum.,202,2172
Migration is a fact of life.,607,2175
People have always moved within countries and between countries.,607,2176
"Much of the UKs language, culture and way of life has been enriched by successive new arrivals over thousands of years.",607,2177
"Most families living here will have members of their extended family who live abroad or include members who were born abroad  5 million British citizens live abroad, around 2 million of them in the EU.",607,2178
"We take it for granted that we can move to live where we like within our country, and increasingly within Europe and further afield, as others do.",607,2179
